Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,TrainCG,TestCG,ValiCG
1,0.0007999999999999986,4.082079807917277,1.0010842382907867,1.964484167098999,0.4661458333333333,0.503125,0.6015625
2,0.0007999999999999986,2.335481365521749,0.811866044998169,1.387193238735199,0.4835069444444444,0.515625,0.546875
3,0.0007999999999999986,1.332329781519042,0.7278074026107788,1.0686237573623658,0.5043402777777778,0.521875,0.546875
4,0.0007999999999999986,0.8227290312449137,0.6968808770179749,0.9237773060798645,0.5147569444444444,0.534375,0.5390625
5,0.000599999999999999,0.6354858461353514,0.6798551082611084,0.8740847945213318,0.515625,0.534375,0.5390625
6,0.000599999999999999,0.5755884895722071,0.6553871929645538,0.8444605946540833,0.5138888888888888,0.546875,0.5703125
7,0.00044999999999999923,0.5499481351839172,0.6339186429977417,0.8295201778411865,0.5104166666666666,0.546875,0.578125
8,0.00044999999999999923,0.5340222120285034,0.6120864152908325,0.8195029020309448,0.5164930555555556,0.553125,0.578125
9,0.0003374999999999994,0.5213313520782523,0.5959060788154602,0.8136943221092224,0.5199652777777778,0.55625,0.5703125
10,0.0003374999999999994,0.5116526405844424,0.5799448490142822,0.8098193407058716,0.5225694444444444,0.55625,0.609375
11,0.00025312499999999955,0.5031678411695693,0.5690281838178635,0.8065773606300354,0.5217013888888888,0.5625,0.609375
12,0.00025312499999999955,0.49676596911417115,0.558567687869072,0.8036082208156585,0.5260416666666666,0.565625,0.609375
13,0.00018984374999999966,0.4909321889281273,0.5504455864429474,0.8012471199035645,0.5269097222222222,0.56875,0.6171875
14,0.00018984374999999966,0.4864024557173252,0.5426405221223831,0.7980877995491028,0.5277777777777778,0.571875,0.625
15,0.00014238281249999977,0.4827574897143576,0.5367642343044281,0.7956442952156066,0.5286458333333334,0.571875,0.625
16,0.00014238281249999977,0.47948095119661754,0.5306495279073715,0.7931189119815827,0.5269097222222222,0.56875,0.625
17,0.00010678710937499981,0.4767240120304955,0.5267026126384735,0.7920565247535706,0.5269097222222222,0.56875,0.625
18,0.00010678710937499981,0.4737895093858242,0.5220032185316086,0.789379358291626,0.5269097222222222,0.571875,0.625
19,8.009033203124987e-05,0.47191893888844383,0.5194662511348724,0.7878297567367554,0.5269097222222222,0.571875,0.625
20,8.009033203124987e-05,0.47021058532926774,0.5162888318300247,0.7866459488868713,0.5269097222222222,0.571875,0.6328125
21,6.0067749023437396e-05,0.4684469761947791,0.5137273669242859,0.7853670597076416,0.5269097222222222,0.575,0.6328125
22,6.0067749023437396e-05,0.46709124909506905,0.511714905500412,0.7845491111278534,0.5277777777777778,0.575,0.6328125
23,4.505081176757805e-05,0.4660622903870212,0.5089524984359741,0.7837194979190827,0.5277777777777778,0.575,0.6328125
24,4.505081176757805e-05,0.4647039829028977,0.5072174668312073,0.7827593445777893,0.5277777777777778,0.575,0.6328125
25,3.3788108825683534e-05,0.4637705377406544,0.5063434094190598,0.7826154708862305,0.5269097222222222,0.575,0.6328125
26,3.3788108825683534e-05,0.46312924722830456,0.5044870376586914,0.7822440981864929,0.5277777777777778,0.578125,0.6328125
27,2.5341081619262652e-05,0.4623282013667954,0.5037167966365814,0.7817907691001892,0.5286458333333334,0.578125,0.6328125
28,2.5341081619262652e-05,0.46160344945059884,0.5025326311588287,0.7802651762962342,0.5286458333333334,0.578125,0.6328125
29,1.9005811214446987e-05,0.4612947665154934,0.5016529560089111,0.7800873935222625,0.5277777777777778,0.578125,0.640625
30,1.9005811214446987e-05,0.4605915993452072,0.5006319582462311,0.7792198300361634,0.5286458333333334,0.578125,0.640625
31,1.4254358410835242e-05,0.46014825171894497,0.5001209080219269,0.7790747165679932,0.5295138888888888,0.578125,0.640625
32,1.4254358410835242e-05,0.4598785928554005,0.4995597302913666,0.7787275433540344,0.5295138888888888,0.578125,0.640625
33,1.0690768808126432e-05,0.4594996819893519,0.4985816031694412,0.7784988880157471,0.5295138888888888,0.578125,0.640625
34,1.0690768808126432e-05,0.4588877972629335,0.49791528284549713,0.7782230019569397,0.5286458333333334,0.578125,0.640625
35,8.018076606094823e-06,0.4588138187925021,0.49801239371299744,0.778226101398468,0.5286458333333334,0.578125,0.640625
36,8.018076606094823e-06,0.4587109449009101,0.4979432225227356,0.7781914591789245,0.5286458333333334,0.578125,0.640625
37,6.013557454571117e-06,0.4586375897957219,0.4977985769510269,0.7781960189342498,0.5286458333333334,0.578125,0.640625
38,6.013557454571117e-06,0.4585590519838863,0.4976072609424591,0.7779455006122589,0.5286458333333334,0.578125,0.640625
