Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,TrainCG,TestCG,ValiCG
1,0.0007999999999999986,0.7738006348411243,1.1035403509934743,0.8009583262296823,0.47708333333333336,0.47836538461538464,0.5338541666666666
2,0.0007999999999999986,0.23169508203864098,1.2565873116254807,0.4219675041162051,0.48819444444444443,0.5216346153846154,0.46875
3,0.0007999999999999986,0.2772860501375463,1.6280178129673004,0.3778288605121466,0.5163194444444444,0.4807692307692308,0.5338541666666666
4,0.0007999999999999986,0.24582796822198563,0.09873361326754093,0.055565252112081416,0.49895833333333334,0.5168269230769231,0.5104166666666666
5,0.000599999999999999,0.1161601109119753,0.1460641516993443,0.0763878019956442,0.5125,0.5288461538461539,0.4765625
6,0.000599999999999999,0.1472603501441578,0.09083716850727797,0.04578212333413271,0.5121527777777778,0.49399038461538464,0.5130208333333334
7,0.00044999999999999923,0.06009992338303063,0.14514172822237015,0.06530913198366761,0.5065972222222223,0.515625,0.4583333333333333
8,0.00044999999999999923,0.06055448597504033,0.10918774207433064,0.05196793735600435,0.5041666666666667,0.49278846153846156,0.5104166666666666
9,0.0003374999999999994,0.05643642697897222,0.11236055133243401,0.05218807665201334,0.5027777777777778,0.49399038461538464,0.4791666666666667
10,0.0003374999999999994,0.054810506581432286,0.11285968062778313,0.050919038673432976,0.5090277777777777,0.4879807692307692,0.4869791666666667
11,0.00025312499999999955,0.05280597783211205,0.11567941308021545,0.050690373190893576,0.5107638888888889,0.49038461538461536,0.4791666666666667
12,0.00025312499999999955,0.05178216747525666,0.11519281938672066,0.049530285267302625,0.5128472222222222,0.484375,0.4791666666666667
13,0.00018984374999999966,0.0503095870009727,0.11658798592785995,0.049279665789352015,0.5107638888888889,0.4855769230769231,0.484375
14,0.00018984374999999966,0.049584634229540826,0.11501483619213104,0.04853233222204905,0.5118055555555555,0.48677884615384615,0.484375
15,0.00014238281249999977,0.04864105153828859,0.11362402141094208,0.04776907468644472,0.5121527777777778,0.4855769230769231,0.4895833333333333
16,0.00014238281249999977,0.04817811057178511,0.11347751008967559,0.04732975471191681,0.5114583333333333,0.4831730769230769,0.4895833333333333
17,0.00010678710937499981,0.047496430710372,0.11451442477603753,0.047367972966570124,0.5125,0.484375,0.484375
18,0.00010678710937499981,0.04701026752591133,0.11410661041736603,0.04693848711366837,0.5128472222222222,0.484375,0.4817708333333333
19,8.009033203124987e-05,0.046367672375506826,0.11311097318927447,0.04649049881845713,0.5111111111111111,0.484375,0.484375
20,8.009033203124987e-05,0.0460116024956935,0.11294004631539185,0.04616913177932684,0.5107638888888889,0.4855769230769231,0.484375
21,6.0067749023437396e-05,0.045636853420486054,0.11356625768045585,0.04616106423334433,0.5083333333333333,0.4831730769230769,0.4739583333333333
22,6.0067749023437396e-05,0.04544097523515423,0.11359288233021896,0.04607779812067747,0.5079861111111111,0.4807692307692308,0.4739583333333333
23,4.505081176757805e-05,0.04513840394922429,0.11326554231345654,0.04580473083143051,0.5086805555555556,0.4831730769230769,0.4739583333333333
24,4.505081176757805e-05,0.04500531787052751,0.1136591446896394,0.04563002553410255,0.5083333333333333,0.4807692307692308,0.46875
25,3.3788108825683534e-05,0.044747473175326985,0.11324243992567062,0.04549235993852982,0.5107638888888889,0.4807692307692308,0.46875
26,3.3788108825683534e-05,0.04463141912387477,0.1131815326710542,0.045276305853174284,0.5114583333333333,0.4795673076923077,0.46875
27,2.5341081619262652e-05,0.04450327577069402,0.11273056827485561,0.04508256031057009,0.5118055555555555,0.47716346153846156,0.46875
28,2.5341081619262652e-05,0.044373270351853636,0.11245275475084782,0.044960726267443255,0.5104166666666666,0.47596153846153844,0.46875
29,1.9005811214446987e-05,0.04425745451201995,0.11270932915310065,0.0449543332394499,0.5114583333333333,0.47475961538461536,0.46875
30,1.9005811214446987e-05,0.04416273141072856,0.11245115473866463,0.04484482217006958,0.5128472222222222,0.47596153846153844,0.46875
31,1.4254358410835242e-05,0.04403825743744771,0.11267249720791976,0.044831572100520134,0.5131944444444444,0.4735576923076923,0.46875
32,1.4254358410835242e-05,0.04399538729339838,0.1124378964304924,0.04472957264918547,0.5142361111111111,0.47475961538461536,0.46875
