Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,TrainCG,TestCG,ValiCG
1,0.0007999999999999986,3.2035728002849377,0.9001201689243317,1.0583668947219849,0.484375,0.509375,0.5
2,0.0007999999999999986,2.017818852474815,0.9513142108917236,1.2141167044639587,0.5,0.525,0.5625
3,0.0007999999999999986,2.172812731642472,12.177698731422424,55.12507381439209,0.4720394736842105,0.515625,0.5859375
4,0.0007999999999999986,1.395689490594362,3.1649935245513916,12.862655878067017,0.5328947368421053,0.525,0.6015625
5,0.000599999999999999,0.7585180574341824,1.2528467774391174,2.331567573547363,0.5296052631578947,0.525,0.5625
6,0.000599999999999999,0.847971938942608,1.2144372463226318,1.260107696056366,0.6274671052631579,0.528125,0.53125
7,0.00044999999999999923,0.8263302790491205,1.898836374282837,2.4980231046676638,0.631578947368421,0.490625,0.5078125
8,0.00044999999999999923,0.7930685387630212,1.9592018127441406,3.1036324501037598,0.6702302631578947,0.4875,0.5078125
9,0.0003374999999999994,0.6242677404692298,1.285427987575531,1.0981292724609375,0.65625,0.525,0.515625
10,0.0003374999999999994,0.10943916832145892,1.2698065042495728,1.1143874883651734,0.6768092105263158,0.528125,0.5078125
11,0.00025312499999999955,0.11963349453320629,1.5021492838859558,1.2545231819152831,0.7154605263157895,0.49375,0.5078125
12,0.00025312499999999955,0.0589545032891788,1.3047868013381958,1.0513752222061157,0.7327302631578947,0.5125,0.5
13,0.00018984374999999966,0.018077345705885244,1.3621556758880615,1.077800714969635,0.7483552631578947,0.50625,0.5
14,0.00018984374999999966,0.017519308091753994,1.3334855437278748,1.0581017136573792,0.7606907894736842,0.50625,0.5
15,0.00014238281249999977,0.007808852511899252,1.332875370979309,1.0556383848190307,0.7680921052631579,0.50625,0.5
16,0.00014238281249999977,0.006923661786315374,1.3288813829421997,1.0545798301696778,0.7664473684210527,0.50625,0.5
17,0.00010678710937499981,0.004673602452385239,1.3247817158699036,1.0516524076461793,0.7680921052631579,0.50625,0.5
18,0.00010678710937499981,0.0041111320698339684,1.3240296244621277,1.0514510035514832,0.7689144736842105,0.50625,0.5
19,8.009033203124987e-05,0.0034920765227932286,1.3211860060691833,1.0485549926757813,0.772203947368421,0.50625,0.5
20,8.009033203124987e-05,0.0029604246471870667,1.3239179253578186,1.050426185131073,0.7763157894736842,0.50625,0.5
21,6.0067749023437396e-05,0.0027574063707633237,1.3205963373184204,1.0488490343093873,0.7787828947368421,0.50625,0.5
22,6.0067749023437396e-05,0.002515836031977271,1.3217536807060242,1.0495049715042115,0.7796052631578947,0.50625,0.5
23,4.505081176757805e-05,0.002338094800698424,1.3214600682258606,1.0493189096450806,0.787828947368421,0.50625,0.5
24,4.505081176757805e-05,0.0022388499505483963,1.3214324116706848,1.049287700653076,0.7894736842105263,0.50625,0.5
25,3.3788108825683534e-05,0.0020899960216315535,1.3214529156684875,1.0493050932884216,0.7919407894736842,0.50625,0.5
26,3.3788108825683534e-05,0.0020373025310714424,1.321274995803833,1.0491971969604492,0.7935855263157895,0.50625,0.5
27,2.5341081619262652e-05,0.001943648004223513,1.3211591243743896,1.0491203546524048,0.796875,0.50625,0.5
28,2.5341081619262652e-05,0.0018996170832619292,1.321201205253601,1.0491289615631103,0.7976973684210527,0.50625,0.5
29,1.9005811214446987e-05,0.0018376626120650478,1.321131706237793,1.0490885734558106,0.7976973684210527,0.50625,0.5
30,1.9005811214446987e-05,0.001807212797039507,1.3211113214492798,1.0490689396858215,0.7976973684210527,0.50625,0.5
31,1.4254358410835242e-05,0.001761452727709854,1.321082592010498,1.0490463137626649,0.7985197368421053,0.50625,0.5
32,1.4254358410835242e-05,0.0017388901532716485,1.3210901618003845,1.0490403175354004,0.7993421052631579,0.50625,0.5
33,1.0690768808126432e-05,0.0017060296783567633,1.3210648894309998,1.0490206241607667,0.7993421052631579,0.50625,0.5
34,1.0690768808126432e-05,0.0016892514578151015,1.321073830127716,1.049017345905304,0.7993421052631579,0.50625,0.5
