,num_lags,accuracy
0,1.0,0.5026801667659321
1,2.0,0.6139146013735444
2,3.0,0.6610778443113773
3,4.0,0.6736715700990693
4,5.0,0.6794099939795304
5,6.0,0.7093268940537277
6,7.0,0.7273002421307506
7,8.0,0.7341426403641882
8,9.0,0.7422398052343274
9,10.0,0.7381751602075068
10,11.0,0.7399020807833537
11,12.0,0.7391837987112612
12,13.0,0.7427692307692307
13,14.0,0.7414378278309164
14,15.0,0.7385519801980198
15,16.0,0.7536456717344089
16,17.0,0.7576228998133168
17,18.0,0.7507020280811233
18,19.0,0.7462453066332916
19,20.0,0.7558832758079699
20,21.0,0.7561359345500315
21,22.0,0.7579678131902808
22,23.0,0.7563291139240507
23,24.0,0.757219930180895
24,25.0,0.7562062380649268
25,26.0,0.7583785509096712
26,27.0,0.7528809218950064
27,28.0,0.7585874799357946
28,29.0,0.7514488087572441
