,num_lags,accuracy
0,1.0,0.8050221565731167
1,2.0,0.807033096926714
2,3.0,0.807033096926714
3,4.0,0.8082151300236406
4,5.0,0.8078628436299142
5,6.0,0.808158439255099
6,7.0,0.8075672480047296
7,8.0,0.807806031933767
8,9.0,0.8075103489059728
9,10.0,0.8089887640449438
10,11.0,0.8081017149615612
11,12.0,0.8080449571132801
12,13.0,0.8080449571132801
13,14.0,0.8080449571132801
14,15.0,0.8079881656804734
15,16.0,0.8079881656804734
16,17.0,0.8076923076923077
17,18.0,0.808227286179343
18,19.0,0.8079313406333235
19,20.0,0.8094110683634211
20,21.0,0.8094110683634211
21,22.0,0.8096506808762581
22,23.0,0.8099467140319716
23,24.0,0.8096506808762581
24,25.0,0.8125555226532425
25,26.0,0.8125555226532425
26,27.0,0.8125555226532425
27,28.0,0.8130924170616114
28,29.0,0.8127962085308057
29,30.0,0.8125
30,31.0,0.8139810426540285
31,32.0,0.8157037037037037
32,33.0,0.816
33,34.0,0.8165925925925926
34,35.0,0.8162418494368702
35,36.0,0.8186129223473622
36,37.0,0.8174273858921162
37,38.0,0.8176697302104952
38,39.0,0.8176697302104952
39,40.0,0.8188556181440854
40,41.0,0.8191520901274829
41,42.0,0.8188018979833926
42,43.0,0.8190984578884934
43,44.0,0.819988137603796
44,45.0,0.8205280332245625
45,46.0,0.8205280332245625
46,47.0,0.8202313853455948
47,48.0,0.8189910979228486
48,49.0,0.8201780415430268
49,50.0,0.8204747774480712
50,51.0,0.8204747774480712
51,52.0,0.8201246660730187
52,53.0,0.8189373701395073
53,54.0,0.8192341941228851
54,55.0,0.8194774346793349
55,56.0,0.8194774346793349
56,57.0,0.8203681710213777
57,58.0,0.8209088209088209
58,59.0,0.8206118206118206
59,60.0,0.8203148203148203
60,61.0,0.8206118206118206
61,62.0,0.8205585264408793
62,63.0,0.8211527035056447
63,64.0,0.820855614973262
64,65.0,0.8219910846953937
65,66.0,0.8202080237741456
66,67.0,0.8208023774145616
67,68.0,0.8219381688466112
68,69.0,0.8225326991676576
69,70.0,0.8222354340071344
70,71.0,0.8213436385255648
71,72.0,0.8224799286351472
72,73.0,0.8209931608682723
73,74.0,0.8212905144216474
74,75.0,0.8224271267102915
75,76.0,0.8224271267102915
76,77.0,0.8230220107079119
77,78.0,0.8241594763463255
78,79.0,0.8238619458494496
79,80.0,0.8238619458494496
80,81.0,0.8238619458494496
81,82.0,0.8247023809523809
82,83.0,0.8238095238095238
83,84.0,0.8238095238095238
84,85.0,0.8237570705567133
85,86.0,0.8240547782077999
86,87.0,0.8252456088121465
87,88.0,0.8254913639070875
88,89.0,0.8240023823704586
89,90.0,0.8240023823704586
90,91.0,0.8240023823704586
91,92.0,0.8236520703008638
92,93.0,0.8236520703008638
93,94.0,0.8236520703008638
94,95.0,0.8227056019070322
95,96.0,0.8230035756853397
96,97.0,0.8227056019070322
97,98.0,0.8208643815201192
98,99.0,0.8211624441132638
