Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,TrainCG,TestCG,ValiCG
1,0.0007999999999999986,1.257210009627872,1.7475557327270508,1.4854283809661866,0.4921875,0.49375,0.5
2,0.0007999999999999986,1.0791163345177968,0.9816989302635193,1.062244462966919,0.4730902777777778,0.496875,0.5
3,0.0007999999999999986,1.0517008701960247,0.9874848127365112,1.0538809418678283,0.4800347222222222,0.496875,0.5
4,0.0007999999999999986,0.9681071903970506,1.090337097644806,1.0745473623275756,0.4739583333333333,0.496875,0.5
5,0.000599999999999999,0.893033524354299,0.9550485014915466,0.9928309559822083,0.4713541666666667,0.496875,0.5
6,0.000599999999999999,0.7903191778394911,0.7580065727233887,0.8790610909461976,0.4774305555555556,0.496875,0.5
7,0.00044999999999999923,0.6536425434880786,0.6164224445819855,0.784841799736023,0.4895833333333333,0.50625,0.5
8,0.00044999999999999923,0.5274477899074554,0.47476181387901306,0.6994868755340576,0.5329861111111112,0.571875,0.5859375
9,0.0003374999999999994,0.4404848549101088,0.3855189234018326,0.6615340173244476,0.5763888888888888,0.625,0.6484375
10,0.0003374999999999994,0.3990024808380339,0.3254587650299072,0.6428538203239441,0.5963541666666666,0.640625,0.71875
11,0.00025312499999999955,0.37678598798811436,0.2994978576898575,0.6300654947757721,0.5972222222222222,0.64375,0.7421875
12,0.00025312499999999955,0.36329277522034115,0.2830929607152939,0.6168214559555054,0.6015625,0.65,0.7421875
13,0.00018984374999999966,0.3526225653994415,0.27365316450595856,0.6077813327312469,0.5980902777777778,0.65,0.7421875
14,0.00018984374999999966,0.3444997285389238,0.26584965735673904,0.5999426424503327,0.5989583333333334,0.65,0.7421875
15,0.00014238281249999977,0.3377720116534167,0.260567381978035,0.5950195401906967,0.6015625,0.653125,0.7421875
16,0.00014238281249999977,0.3329079734782378,0.25625288486480713,0.5896731168031693,0.6032986111111112,0.65625,0.7421875
17,0.00010678710937499981,0.32868391937679714,0.25312162190675735,0.5860761314630508,0.6024305555555556,0.65625,0.7421875
18,0.00010678710937499981,0.32555958395823836,0.2500506713986397,0.5825525969266891,0.6024305555555556,0.653125,0.7421875
19,8.009033203124987e-05,0.3225370825578769,0.24798201024532318,0.5797945946455002,0.6024305555555556,0.653125,0.7421875
20,8.009033203124987e-05,0.32028959518195027,0.24591834843158722,0.5772340416908264,0.6032986111111112,0.653125,0.7421875
21,6.0067749023437396e-05,0.31822768981671995,0.24426542222499847,0.5754640519618988,0.6050347222222222,0.653125,0.7421875
22,6.0067749023437396e-05,0.3166664951067004,0.24275816977024078,0.5737388253211975,0.6050347222222222,0.653125,0.7421875
23,4.505081176757805e-05,0.315182933713206,0.24184148013591766,0.5725645273923874,0.6059027777777778,0.653125,0.7421875
24,4.505081176757805e-05,0.3141616320547958,0.24066272377967834,0.5713390111923218,0.6059027777777778,0.653125,0.75
25,3.3788108825683534e-05,0.3130198843104558,0.2397855967283249,0.5706223875284195,0.6050347222222222,0.653125,0.7421875
26,3.3788108825683534e-05,0.3122270504892286,0.23907459527254105,0.5694961458444595,0.6059027777777778,0.653125,0.7421875
27,2.5341081619262652e-05,0.3115240564673311,0.2384921908378601,0.5688043266534806,0.6059027777777778,0.653125,0.7421875
28,2.5341081619262652e-05,0.3108695801347494,0.23789161443710327,0.5682571440935135,0.6041666666666666,0.653125,0.7421875
29,1.9005811214446987e-05,0.31029179754356545,0.23740699887275696,0.5677124977111816,0.6041666666666666,0.653125,0.7421875
30,1.9005811214446987e-05,0.30988356108880705,0.23705781996250153,0.5671740800142289,0.6041666666666666,0.653125,0.7421875
31,1.4254358410835242e-05,0.30950864205240375,0.23676268756389618,0.566862016916275,0.6032986111111112,0.653125,0.7421875
32,1.4254358410835242e-05,0.30919249922347564,0.23642702400684357,0.5665048360824585,0.6024305555555556,0.653125,0.7421875
33,1.0690768808126432e-05,0.30889440708172816,0.2362135499715805,0.5661159873008728,0.6024305555555556,0.653125,0.7421875
34,1.0690768808126432e-05,0.30860426887455916,0.23607902228832245,0.5658496707677841,0.6024305555555556,0.653125,0.7421875
35,8.018076606094823e-06,0.30843822316577035,0.23588308691978455,0.5655746459960938,0.6024305555555556,0.653125,0.7421875
36,8.018076606094823e-06,0.30819808526171577,0.2358388900756836,0.5652877002954483,0.6015625,0.653125,0.7421875
